mol_id,smiles,dn_pred,lower_95,upper_95,interval_width_95
0,O=CO,18.913209199205426,18.265447343798158,19.560971054612693,1.2955237108145348
1,NC=O,23.9433179393306,23.295556083923334,24.59107979473787,1.2955237108145348
2,CC=O,19.311356973731318,18.66359511832405,19.959118829138585,1.2955237108145348
3,CC(=O)O,18.673415562814924,18.025653707407656,19.32117741822219,1.2955237108145348
4,CC(N)=O,24.572747754831305,23.924985899424037,25.220509610238572,1.2955237108145348
5,COC=O,18.99178353969088,18.34402168428361,19.639545395098146,1.2955237108145348
6,COC(C)=O,17.789530412924922,17.141768557517654,18.43729226833219,1.2955237108145348
7,CNC(C)=O,25.589881141628492,24.942119286221224,26.23764299703576,1.2955237108145348
8,CC(C)=O,17.9802944564005,17.332532600993233,18.628056311807768,1.2955237108145348
9,CNC=O,25.00482131487321,24.357059459465944,25.65258317028048,1.2955237108145348
10,CCOC=O,18.91681591873685,18.269054063329584,19.56457777414412,1.2955237108145348
11,CCCOC=O,18.958779562936357,18.31101770752909,19.606541418343625,1.2955237108145348
12,O=C1CCO1,18.464270974791468,17.8165091193842,19.112032830198736,1.2955237108145348
13,O=C1CNC(=O)N1,26.040399332336822,25.392637476929554,26.68816118774409,1.2955237108145348
14,O=C1CCCC1,19.241655139788204,18.593893284380936,19.88941699519547,1.2955237108145348
15,CCO,19.65612860072289,19.008366745315623,20.30389045613016,1.2955237108145348
16,COC,19.52405038183626,18.876288526428993,20.17181223724353,1.2955237108145348
17,CCOC,20.683584261235527,20.03582240582826,21.331346116642795,1.2955237108145348
18,OCO,19.603642314888265,18.955880459480998,20.251404170295533,1.2955237108145348
19,COCO,19.73506349352848,19.08730163812121,20.382825348935746,1.2955237108145348
20,OCCO,19.92579347512561,19.27803161971834,20.573555330532876,1.2955237108145348
21,OCCCO,20.00525181894485,19.35748996353758,20.653013674352117,1.2955237108145348
22,CCOCCO,20.1474180842418,19.49965622883453,20.795179939649067,1.2955237108145348
23,C1CCOC1,19.59254157218905,18.94477971678178,20.240303427596317,1.2955237108145348
24,C1CCOCC1,16.93667573260467,16.288913877197402,17.584437588011937,1.2955237108145348
25,C1COCCO1,19.953585320934295,19.305823465527027,20.601347176341562,1.2955237108145348
26,C1COCO1,20.128767635837107,19.48100578042984,20.776529491244375,1.2955237108145348
27,C1COC1,20.04590993909567,19.3981480836884,20.693671794502936,1.2955237108145348
28,O=C1CCCO1,18.430453716757324,17.782691861350056,19.07821557216459,1.2955237108145348
29,C1OCOCO1,20.28637386517899,19.638612009771723,20.93413572058626,1.2955237108145348
30,CCN,27.146790903853955,26.499029048446687,27.794552759261222,1.2955237108145348
31,CN(C)C,29.694389468983694,29.046627613576426,30.34215132439096,1.2955237108145348
32,CNC,27.262641539853888,26.61487968444662,27.910403395261156,1.2955237108145348
33,NCCN,28.07968716006096,27.431925304653692,28.727449015468228,1.2955237108145348
34,NCCCCN,29.405790541535286,28.758028686128018,30.053552396942553,1.2955237108145348
35,C1CCNC1,29.817460650244527,29.16969879483726,30.465222505651795,1.2955237108145348
36,C1CCNCC1,31.366436411042542,30.718674555635275,32.01419826644981,1.2955237108145348
37,C1CNCCN1,29.47812712086794,28.83036526546067,30.125888976275206,1.2955237108145348
38,C1COCCN1,25.49460572324625,24.84684386783898,26.142367578653516,1.2955237108145348
39,C1CNC1,27.12139441337138,26.473632557964113,27.769156268778648,1.2955237108145348
40,c1cnccn1,27.072754402978024,26.424992547570756,27.72051625838529,1.2955237108145348
41,c1ccncc1,31.926027861079408,31.27826600567214,32.57378971648667,1.2955237108145348
42,c1cncnc1,25.475271484822578,24.82750962941531,26.123033340229846,1.2955237108145348
43,c1cc[nH]c1,24.948579026916818,24.30081717150955,25.596340882324085,1.2955237108145348
44,c1ccc2[nH]ccc2c1,28.937408127272228,28.28964627186496,29.585169982679496,1.2955237108145348
45,c1ncc2[nH]cnc2n1,31.244151439536804,30.596389584129536,31.89191329494407,1.2955237108145348
46,c1ccc2nccnc2c1,28.437854880848764,27.790093025441497,29.085616736256032,1.2955237108145348
47,CCNC=O,25.595655509723787,24.94789365431652,26.243417365131055,1.2955237108145348
48,CCCNC=O,26.376040528090645,25.728278672683377,27.023802383497912,1.2955237108145348
49,CN(C)C=O,26.234379144774657,25.58661728936739,26.882141000181925,1.2955237108145348
50,O=CN1CCCC1,26.302858977626595,25.655097122219328,26.950620833033863,1.2955237108145348
51,O=CN1CC1,25.72380413126348,25.076042275856214,26.37156598667075,1.2955237108145348
52,O=CNCCO,24.267822976760513,23.620061121353245,24.91558483216778,1.2955237108145348
53,CC#N,18.147744963504486,17.49998310809722,18.795506818911754,1.2955237108145348
54,CCC#N,25.134530532475846,24.48676867706858,25.782292387883114,1.2955237108145348
55,CCCC#N,26.014639541843554,25.366877686436286,26.66240139725082,1.2955237108145348
56,C#CCC#N,25.45652403662351,24.80876218121624,26.104285892030777,1.2955237108145348
57,FC(F)F,15.962926872346394,15.315165016939126,16.61068872775366,1.2955237108145348
58,CCF,19.014320430626626,18.366558575219358,19.662082286033893,1.2955237108145348
59,CC(F)F,16.770755422972492,16.122993567565224,17.41851727837976,1.2955237108145348
60,OC(F)(F)F,14.14615735647171,13.498395501064442,14.793919211878977,1.2955237108145348
61,CC(F)(F)F,15.0246284634026,14.376866607995332,15.672390318809867,1.2955237108145348
62,COC(F)F,16.036402920605763,15.388641065198495,16.68416477601303,1.2955237108145348
63,OC(F)F,15.375889554966234,14.728127699558966,16.0236514103735,1.2955237108145348
64,FCCl,20.010325294801998,19.36256343939473,20.658087150209266,1.2955237108145348
65,FCF,16.892901287148337,16.24513943174107,17.540663142555605,1.2955237108145348
66,O=CF,18.297930006761497,17.65016815135423,18.945691862168765,1.2955237108145348
67,FCBr,20.72890450747994,20.08114265207267,21.376666362887207,1.2955237108145348
68,FCc1ccccc1,18.639318142498766,17.9915562870915,19.287079997906034,1.2955237108145348
69,FC(F)(F)c1ccccc1,13.741023832738419,13.093261977331151,14.388785688145687,1.2955237108145348
70,C[N+](=O)[O-],23.519251147993558,22.87148929258629,24.167013003400825,1.2955237108145348
71,CS(C)(=O)=O,20.747055011766136,20.09929315635887,21.394816867173404,1.2955237108145348
72,CS(=O)(=O)F,18.048289036582727,17.40052718117546,18.696050891989994,1.2955237108145348
73,CS(=O)(=O)O,19.540213191562568,18.8924513361553,20.187975046969836,1.2955237108145348
74,CS(N)(=O)=O,24.049733420243392,23.401971564836124,24.69749527565066,1.2955237108145348
75,OP,21.81764479876633,21.169882943359063,22.4654066541736,1.2955237108145348
76,O=P,20.93172494278128,20.283963087374012,21.579486798188547,1.2955237108145348
77,CO[PH](=O)OC,19.07883105073622,18.431069195328952,19.726592906143487,1.2955237108145348
78,CNP(=O)(N(C)C)N(C)C,29.30591064780622,28.65814879239895,29.953672503213486,1.2955237108145348
79,CCC=O,19.621036037470503,18.973274182063236,20.26879789287777,1.2955237108145348
80,CCCC=O,19.667846387506014,19.020084532098746,20.31560824291328,1.2955237108145348
81,CCCCC=O,19.80038182067064,19.152619965263373,20.44814367607791,1.2955237108145348
82,CC(C)C=O,19.656938810113193,19.009176954705925,20.30470066552046,1.2955237108145348
83,CC(C)(C)C=O,19.50585333047422,18.858091475066953,20.15361518588149,1.2955237108145348
84,CC(C)OC=O,18.88645025295642,18.23868839754915,19.534212108363686,1.2955237108145348
85,O=CCl,21.147202987655053,20.499441132247785,21.79496484306232,1.2955237108145348
86,O=CC=O,19.08737037968404,18.43960852427677,19.735132235091307,1.2955237108145348
87,CC(=O)C=O,18.971808643115217,18.32404678770795,19.619570498522485,1.2955237108145348
88,O=CC(=O)O,18.295283319398266,17.647521463990998,18.943045174805533,1.2955237108145348
89,NC(=O)C=O,23.957160662574825,23.309398807167558,24.604922517982093,1.2955237108145348
90,CNC(=O)C=O,24.350474401078465,23.702712545671197,24.998236256485733,1.2955237108145348
91,N#CC=O,23.572292238422513,22.924530383015245,24.22005409382978,1.2955237108145348
92,O=CS,21.47811772281645,20.83035586740918,22.125879578223717,1.2955237108145348
93,CSC=O,21.19955525953067,20.5517934041234,21.847317114937937,1.2955237108145348
94,CS(=O)C=O,20.183240893682623,19.535479038275355,20.83100274908989,1.2955237108145348
